id,situacao,cargo,funcao
3170580,Ativo,Sem informaç,FG 000.3
1886049,Aposentado,ASSISTENTE DE ALUNO,Sem função
1804839,Aposentado,TECNICO DE LABORATORIO AREA,Sem função
2320477,Aposentado,VIGILANTE,Sem função
1685948,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1975899,Ativo,ENCADERNADOR,Sem função
1332546,Ativo,AUXILIAR DE ENFERMAGEM,Sem função
1895514,Pensionista,VIGILANTE,Sem função
3361363,Ativo,MEDICO RESIDENTE,Sem função
2131549,Aposentado,PSICOLOGO-AREA,Sem função
2611852,Pensionista,AJUSTADOR MECANICO,Sem função
3738913,Aposentado,ASSISTENTE EM ADMINISTRACAO,Sem função
1391341,Aposentado,TECNICO EM CONTABILIDADE,Sem função
3860179,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
997415,Aposentado,ODONTOLOGO - 30 HORAS - DL 1445-76,Sem função
2376524,Ativo,TECNICO EM ENFERMAGEM,Sem função
40626,Ativo,VIGILANTE,Sem função
287044,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1126171,Ativo,ENFERMEIRO-AREA,Sem função
967915,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
967915,Ativo,Sem informaç,FG 000.1
2281667,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3293891,Pensionista,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1467106,Ativo,AUXILIAR DE ENFERMAGEM,Sem função
82078,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2663651,Pensionista,ASSISTENTE EM ADMINISTRACAO,Sem função
970788,Pensionista,OPERADOR DE CAMERA DE CINEMA E TV,Sem função
1439458,Ativo,MEDICO RESIDENTE,Sem função
2943700,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
1815545,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2929123,Ativo,JORNALISTA,Sem função
2542331,Pensionista,ASSISTENTE EM ADMINISTRACAO,Sem função
393737,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1330566,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1213329,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2631255,Pensionista,AUXILIAR DE ENFERMAGEM,Sem função
2272257,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
150660,Aposentado,MEDICO VETERINARIO,Sem função
2843515,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1735971,Pensionista,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1735971,Pensionista,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3529793,Ativo,PROFESSOR ENS BASICO TECN TECNOLOGICO,Sem função
1716005,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
2245869,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
896882,Pensionista,RECEPCIONISTA,Sem função
1765881,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
1765881,Ativo,Sem informaç,CCX 010.2
347733,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
347733,Ativo,Sem informaç,FUC 000.1
50106,Ativo,ENFERMEIRO-AREA,Sem função
3189959,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
245925,Ativo,ENFERMEIRO-AREA,Sem função
3363376,Pensionista,RECEPCIONISTA,Sem função
1044109,Ativo,AUXILIAR DE ENFERMAGEM,Sem função
3311337,Ativo,PROF ENS BAS TEC TECNOLOGICO-SUBSTITUTO,Sem função
1361061,Ativo,MEDICO-AREA,Sem função
3279659,Ativo,TECNICO DE LABORATORIO AREA,Sem função
3858185,Ativo,MEDICO RESIDENTE,Sem função
3153698,Ativo,TECNICO EM EDIFICACOES,Sem função
3153698,Ativo,Sem informaç,FG 000.3
426671,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1444850,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1444850,Ativo,Sem informaç,CD 000.4
165737,Aposentado,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1271385,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1271385,Ativo,Sem informaç,FG 000.1
3241291,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3149950,Ativo,TECNICO DE LABORATORIO AREA,Sem função
1688479,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1688479,Ativo,Sem informaç,FUC 000.1
2767594,Ativo,MEDICO-AREA,Sem função
1386672,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
851208,Ativo,SECRETARIO EXECUTIVO,Sem função
1240606,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
86143,Ativo,TEC EM ANATOMIA E NECROPSIA,Sem função
3126990,Ativo,ASSISTENTE EM ADMINISTRACAO,Sem função
3229423,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
3229423,Ativo,Sem informaç,FUC 000.1
1233764,Ativo,PROFESSOR DO MAGISTERIO SUPERIOR,Sem função
1233764,Ativo,Sem informaç,FUC 000.1
